location,population,date,human_development_index,total_cases,total_deaths,infected_death_percentage
Albania,2877800,"2021-01-23 00:00:00",0.795,2266,36,1.589
Albania,2877800,"2021-01-24 00:00:00",0.795,2441,44,1.803
Albania,2877800,"2021-01-25 00:00:00",0.795,2124,49,2.307
Albania,2877800,"2021-01-26 00:00:00",0.795,2313,37,1.600
Albania,2877800,"2021-01-27 00:00:00",0.795,2417,42,1.738
Albania,2877800,"2021-01-28 00:00:00",0.795,2455,41,1.670
Albania,2877800,"2021-01-29 00:00:00",0.795,1299,17,1.309
Albania,2877800,"2021-01-30 00:00:00",0.795,1313,27,2.056
Albania,2877800,"2021-01-31 00:00:00",0.795,1310,19,1.450
Algeria,43851043,"2020-01-01 00:00:00",0.748,3101,84,2.709
Algeria,43851043,"2020-01-02 00:00:00",0.748,3011,93,3.089
Algeria,43851043,"2020-01-03 00:00:00",0.748,3100,75,2.419
Algeria,43851043,"2020-01-04 00:00:00",0.748,3117,98,3.144
Algeria,43851043,"2020-01-05 00:00:00",0.748,3201,94,2.937
Algeria,43851043,"2020-01-06 00:00:00",0.748,3219,89,2.765
Algeria,43851043,"2020-01-07 00:00:00",0.748,2902,86,2.963
Algeria,43851043,"2020-01-08 00:00:00",0.748,3095,91,2.940
Algeria,43851043,"2020-01-09 00:00:00",0.748,2992,109,3.643
Algeria,43851043,"2020-01-10 00:00:00",0.748,3074,96,3.123
Algeria,43851043,"2020-01-11 00:00:00",0.748,3048,92,3.018
Algeria,43851043,"2020-01-12 00:00:00",0.748,3232,96,2.970
Algeria,43851043,"2020-01-13 00:00:00",0.748,3003,93,3.097
Algeria,43851043,"2020-01-14 00:00:00",0.748,3166,93,2.937
